NON.COURSES.ID,NCRS.DESC,NCRS.SHORT.TITLE,NCRS.CAT.DESC.CC,NCRS.DESIRED.GRADES,NCRS.GRADE.SCHEME,NCRS.DESIRED.SCORE,NCRS.COURSE.EQUIVS,NCRS.MIN.SCORE,NCRS.MAX.SCORE,NCRS.TYPE,DataDatetime
CPTSS,English Placement Test,CPT Sentence Skills,Placement,,,0,6,1,120,TEST,2017-08-24T22:02:56.364Z
CRCAM,,CRC Applied Mathematics,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.364Z
COMPA,Math Placement Test,COMPASS Pre-Algebra,Placement,,,0,262284,0,100,TEST,2017-08-24T22:02:56.364Z
PACTRN,,Pre ACT Reading No Credit,Placement,,,0,,0,0,TEST,2017-08-24T22:02:56.364Z
PTCHM,,Chemistry Placement Test,Placement,,,0,"262481, 331927",0,100,TEST,2017-08-24T22:02:56.364Z
ASTIA,Math Placement Test,ASSET Intermediate Algebra,Placement,,,0,262281,23,55,TEST,2017-08-24T22:02:56.364Z
APLIT,,AP English Literature/Comp,Other Test,,,3,327149,0,5,TEST,2017-08-24T22:02:56.364Z
PTWARAL,,DO NOT USE PTWaiver Arith&Alg,Placement,,,0,264044,8888,8888,TEST,2017-08-24T22:02:56.379Z
HGPAM,,GPA Math,High School GPA,44,HSGPA,0,331849,0,0,HSGPA,2017-08-24T22:02:56.379Z
CLEPPSY2,,CLEP Dev Psychology,Other Test,,CU,50,262479,1,100,TEST,2017-08-24T22:02:56.379Z
PTWRC,,Reading Comp Waiver,Placement,,,9999,14,9999,9999,TEST,2017-08-24T22:02:56.379Z
DMAW40,DMA 040 Waiver; completed DMA 040 at another CC,DMA 040 Waiver,Other Test,,,5555,321330,5555,5555,TEST,2017-08-24T22:02:56.379Z
APEURHIS,,AP European History,Other Test,,,4,331000,1,5,TEST,2017-08-24T22:02:56.379Z
TPWELDI,,Tech Prep Welding I,Other Test,,,93,312246,0,100,TEST,2017-08-24T22:02:56.379Z
DRECOMP,,DRE Composite Score,Other Test,,,0,329477,100,200,TEST,2017-08-24T22:02:56.379Z
DMAW60,DMA 060 Waiver; completed DMA 060 at another CC,DMA 060 Waiver,Other Test,,,5555,321332,5555,5555,TEST,2017-08-24T22:02:56.379Z
