"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"BATCH.COMPILE.METHOD","","","","D","","8","Compilation Method","B","","","","","","","","","","","","140","","8L","1","You must specify the method of compiling this routine., The current options are 'B' for directly using the, BASIC compiler or 'P' for first using the pre-processor.","","BPRCSDEF","","$VR.COMPILE.METHODS","1991-01-09","ALEX","","","2020-06-01T17:13:41.326Z"
"BATCH.COMPONENT.TYPE","","","","D","","30","Component Type","","N","","","","","","","","","","","71","","30L","2","This is used to indicate to the generator what type of, component module it is.","Component Type","BPRCSDEF","","$VR.BATCH.COMPONENT.TYPES","1988-07-08","KIM","","","2020-06-01T17:13:41.936Z"
"BATCH.CONVERSION.TYPE","","","","A","","10","Conversion String","MD2,-","","","","","","","","BPRCSELM","D","","","102","","10L","10","When an INFO/BASIC conversion string is entered here, it, overrides the CDD specification","OCONV","BPRCSDEF","","","1989-04-19","RGH","","","2020-06-01T17:13:41.717Z"
"BATCH.DATA.EDIT","","","","A","","50","","BATCH.DATA=V.VAR1+V.VAR12","","","","","","","","BPRCSELM","D","","","105","","50L","50","INFO/BASIC code to develop totals or to create GET_VARIABL, data.","Batch Data","BPRCSDEF","","","1989-04-20","RGH","","","2020-06-01T17:13:41.701Z"
"BATCH.DATA.ELEMENTS","","","","A","","28","[Data Element Name]","","","","","","","","","BPRCSELM","K","","","15","","28L","28","","","BPRCSDEF","","","1988-07-07","KIM","","","2020-06-01T17:13:41.967Z"
"BATCH.DELETE.ALLOWED","","","","D","","1","","Y","","","","","","","","","","","","38","","1L","1","","","BPRCSDEF","Y","","1988-07-22","RGH","","","2020-06-01T17:13:42.076Z"
"BATCH.ENTRY.HOOK","","","","H","","40","","","","","","","","","","","","","","43","","40L","46","50","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.857Z"
"BATCH.EXIT.HOOK","","","","H","","40","Process Exit Hook","","","","","","","","","","","","","60","","40L","46","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.326Z"
"BATCH.FILE.LOCKS","","","","L","","15","","GL.ACCTS","","","","","","","","","","","","112","","15L","15","This is a list of files which are not to be modified by, other processes while this one is running.","","BPRCSDEF","","","1989-05-04","RGH","","","2020-06-01T17:13:42.014Z"
"BATCH.FILE.NAME","","","","D","","32","File Located In","UT.SUBROUTINES","","","","","","","","","","","","139","","32L","32","You must specify what file contains this external routine.","","BPRCSDEF","","","1991-01-09","ALEX","","","2020-06-01T17:13:41.811Z"
"BATCH.GLOBAL.LOCAL","","","","A","","9","Global/Local","","","","","","","","","BPRCSELM","D","","","73","","9L","1","","","BPRCSDEF","","$VR.FIELD.SCOPES","1988-07-08","KIM","","","2020-06-01T17:13:41.561Z"
"BATCH.INIT.INSERTS","","","","H","","28","Initializing Inserts","$INSERT *>UT.SOURCE>I_FILE.EQUATES","","","","","","","","","","","","61","","28L","40","A list of non-executable insert modules needed for this, process to be complete.","","BPRCSDEF","","","1990-12-10","RGH","","","2020-06-01T17:13:41.389Z"
"BATCH.LAST.GENERATOR.USED","","","","D","","9","Gen Version","","N","","","","","","","","","","","66","","9L","9","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.326Z"
"BATCH.MENU.MNEMONIC","","","","D","","4","Menu","","","","","","","","","","","","","63","","4L","6","","","BPRCSDEF","","","1988-07-15","KIM","","","2020-06-01T17:13:42.029Z"
